"Scenario","Iter","Parameter","Value"
"WorkFlow",1,"-2LL",-2015.92532
"WorkFlow",1,"tvV",88.8431
"WorkFlow",1,"tvCl",5.1069
"WorkFlow",1,"tvV2",91.1316
"WorkFlow",1,"tvCl2",8.29081
"WorkFlow",2,"-2LL",-2028.19916
"WorkFlow",2,"tvV",89.4815
"WorkFlow",2,"tvCl",5.03963
"WorkFlow",2,"tvV2",90.1857
"WorkFlow",2,"tvCl2",7.64443
"WorkFlow",3,"-2LL",-2029.81772
"WorkFlow",3,"tvV",90.4726
"WorkFlow",3,"tvCl",5.05008
"WorkFlow",3,"tvV2",91.3106
"WorkFlow",3,"tvCl2",7.56922
"WorkFlow",4,"-2LL",-2031.88244
"WorkFlow",4,"tvV",91.9194
"WorkFlow",4,"tvCl",4.99275
"WorkFlow",4,"tvV2",93.6416
"WorkFlow",4,"tvCl2",7.54101
"WorkFlow",5,"-2LL",-2032.65204
"WorkFlow",5,"tvV",91.93
"WorkFlow",5,"tvCl",4.94629
"WorkFlow",5,"tvV2",95.553
"WorkFlow",5,"tvCl2",7.57691
"WorkFlow",6,"-2LL",-2032.88666
"WorkFlow",6,"tvV",91.4079
"WorkFlow",6,"tvCl",4.90884
"WorkFlow",6,"tvV2",97.1109
"WorkFlow",6,"tvCl2",7.58953
"WorkFlow",7,"-2LL",-2032.94426
"WorkFlow",7,"tvV",90.9945
"WorkFlow",7,"tvCl",4.88762
"WorkFlow",7,"tvV2",97.5599
"WorkFlow",7,"tvCl2",7.59734
"WorkFlow",8,"-2LL",-2032.98344
"WorkFlow",8,"tvV",90.6212
"WorkFlow",8,"tvCl",4.87443
"WorkFlow",8,"tvV2",97.9503
"WorkFlow",8,"tvCl2",7.59627
"WorkFlow",9,"-2LL",-2033.0124
"WorkFlow",9,"tvV",90.581
"WorkFlow",9,"tvCl",4.86685
"WorkFlow",9,"tvV2",98.3785
"WorkFlow",9,"tvCl2",7.5972
"WorkFlow",10,"-2LL",-2033.04108
"WorkFlow",10,"tvV",90.766
"WorkFlow",10,"tvCl",4.85162
"WorkFlow",10,"tvV2",99.0035
"WorkFlow",10,"tvCl2",7.59301
"WorkFlow",11,"-2LL",-2033.04692
"WorkFlow",11,"tvV",90.9292
"WorkFlow",11,"tvCl",4.85124
"WorkFlow",11,"tvV2",99.1087
"WorkFlow",11,"tvCl2",7.59336
"WorkFlow",12,"-2LL",-2033.04798
"WorkFlow",12,"tvV",91.0471
"WorkFlow",12,"tvCl",4.84952
"WorkFlow",12,"tvV2",99.2146
"WorkFlow",12,"tvCl2",7.59347
"WorkFlow",13,"-2LL",-2033.04828
"WorkFlow",13,"tvV",90.9881
"WorkFlow",13,"tvCl",4.85042
"WorkFlow",13,"tvV2",99.2337
"WorkFlow",13,"tvCl2",7.5949
